                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78747,                 3.3345,                 1.2488,                0.42912,                0.47375,                0.38168,                0.33731,                0.55655,                  1.876,                 1.0566,              5.952e-05,              5.952e-05,              5.952e-05
                      2,                0.69467,                 2.0975,                 1.1615,                0.49629,                0.81442,                0.71149,                0.62717,                0.55266,                 1.2693,                 1.0979,             0.00011683,             0.00011683,             0.00011683
                      3,                0.67684,                 1.6432,                 1.1627,                0.55411,                0.87018,                0.79381,                0.70202,                0.54733,                0.98532,                 1.0954,             0.00017177,             0.00017177,             0.00017177
                      4,                0.66065,                 1.3835,                 1.1606,                0.70711,                0.85776,                 0.8634,                0.77062,                 0.5083,                0.84581,                 1.0917,             0.00016837,             0.00016837,             0.00016837
                      5,                0.61874,                 1.1272,                  1.141,                0.82328,                0.86739,                0.95872,                0.85155,                0.53214,                0.68255,                 1.1067,             0.00016482,             0.00016482,             0.00016482
                      6,                 0.6253,                 0.9882,                 1.1517,                0.85089,                0.94191,                0.97373,                 0.8696,                0.52126,                0.60698,                 1.0965,             0.00016128,             0.00016128,             0.00016128
                      7,                0.60491,                0.85164,                 1.1354,                0.86809,                0.95034,                0.98769,                0.88971,                0.49711,                0.45639,                 1.0878,             0.00015773,             0.00015773,             0.00015773
                      8,                0.61087,                0.78012,                 1.1339,                0.84257,                0.95873,                0.98211,                0.87582,                0.50379,                0.44193,                 1.0806,             0.00015419,             0.00015419,             0.00015419
                      9,                 0.5974,                0.71375,                  1.135,                0.88917,                0.91957,                0.98187,                0.87505,                0.50355,                0.47797,                 1.0846,             0.00015065,             0.00015065,             0.00015065
                     10,                0.59148,                0.66735,                  1.128,                0.92655,                0.97215,                 0.9897,                0.89374,                0.50427,                0.39043,                 1.0905,              0.0001471,              0.0001471,              0.0001471
